nombre,correo_electronico,telefono,direccion,ciudad,pais,codigo_postal,nit
Laboratorios Navarrete-Collazo,hernan73@otero-ruiz.com,+52 2660-3725,Eje vial Panamá 563 Interior 551,Puebla,México,05877-0658,8536114-6
Dra. Micaela Barela,gironfernando@example.org,+52 4280-7804,Andador Guerrero 264 Interior 628,Tijuana,México,51402-6140,7019181-6
Gregorio Benito Zúñiga,danieljaime@example.org,+502 3900-4822,Continuación Uribe 492 Interior 083,Quetzaltenango,Guatemala,24023,1202384-7
Ing. Raúl Flórez,estefania82@example.com,+52 3193-7864,Circuito Arce 088 387,Ciudad de México,México,71678,9968948-5
Mayte Georgina Galván,ana-luisafarias@example.net,+502 7059-1884,Corredor Sur Ceballos 146 201,Antigua Guatemala,Guatemala,84934-0722,8661210-8
Lic. Abel Irizarry,alicia85@example.org,+502 7196-7560,Calzada Quintana Roo 056 174,Villa Nueva,Guatemala,38014,2044345-3
Colón-Pabón,ortaalonso@corporacin.net,+502 4785-1861,Continuación Norte Cornejo 920 Interior 868,Ciudad de Guatemala,Guatemala,88909,2717644-0
Benito Angulo,cepedasessa@example.com,+52 2208-2152,"Pasaje Sur Almaraz 837 Edif. 407 , Depto. 188",Tijuana,México,81741,4488867-9
Dr. Felix Godoy,ysalcido@example.org,+52 4983-8768,Andador Hidalgo 925 449,Tijuana,México,07074,3060950-1
Flavio Óscar López,frida77@example.org,+52 5963-6109,Avenida Yucatán 471 874,Puebla,México,33191-2845,2440905-2
Industrias Sauceda-Lemus,navamiguel@ruelas.com,+52 7669-3645,"Pasaje Norte Madrid 265 Edif. 651 , Depto. 505",Puebla,México,61304-4516,9662655-0
"Villalpando, Bermúdez y Muro",dlaureano@despacho.com,+52 7653-9899,Periférico Norte Espinal 606 Interior 883,Guadalajara,México,06792,1453697-8
"Club Arroyo, Urbina y Cavazos",gracielapedroza@lerma-luevano.com,+502 6246-7008,"Circunvalación Niger 612 Edif. 213 , Depto. 878",Mixco,Guatemala,75762,3802500-5
Dalia Guerrero,delgadoana-luisa@example.net,+503 7213-4654,Cerrada San Luis Potosí 930 Interior 666,San Miguel,El Salvador,64507,4274007-3
Ing. Cristian Santacruz,estebanjuarez@example.org,+502 6240-9073,Viaducto Norte Preciado 020 Interior 679,Quetzaltenango,Guatemala,01687-7313,6965349-0
Eduardo Ramiro Cardona Reyna,urenaaurelio@example.org,+52 3586-6640,"Prolongación Armenia 424 Edif. 861 , Depto. 114",Monterrey,México,64390,8503235-5
René Madera Rincón,abigail37@example.net,+502 3858-8701,"Ampliación Malasia 400 Edif. 376 , Depto. 143",Ciudad de Guatemala,Guatemala,53705-6563,4300181-5
Loya e Hijos,florezisabela@corporacin.info,+503 5927-6636,"Circunvalación Chiapas 792 Edif. 376 , Depto. 092",San Salvador,El Salvador,03092-6002,2422346-1
Margarita Yeni Martínez,betancourtjesus@example.com,+502 3462-8109,"Viaducto Perú 704 Edif. 655 , Depto. 721",Villa Nueva,Guatemala,14156,6578712-1
Rolando Fernando Olivares,wilfrido61@example.org,+52 5288-2391,Corredor Reino Unido de Gran Bretaña e Irlanda del Norte 355 Interior 706,Puebla,México,60607,3665162-2
Gendry Baratheon,banuelosporfirio@example.org,+52 7010-8771,Corredor Nayarit 904 Interior 544,Guadalajara,México,91031,6878862-2
Luke Skywalker,xrivero@example.com,+503 6313-3281,Peatonal Sur Salgado 042 935,San Salvador,El Salvador,75918-3623,8278114-3
Anabel Silvia Aponte,iurias@example.com,+52 4399-9211,"Boulevard Sur Jaimes 131 Edif. 677 , Depto. 232",Guadalajara,México,79381-4449,5035581-9
"Corporacin Hernández, Hurtado y Farías",lgutierrez@grupo.org,+502 4898-8506,Avenida Sonora 388 Interior 317,Ciudad de Guatemala,Guatemala,10737,9669808-6
Amalia Lozada Gonzales,arteagajuan@example.net,+502 3243-9577,Corredor Sepúlveda 794 019,Antigua Guatemala,Guatemala,30552-0340,9565557-0
Srita. Adela Menchaca,lnieto@example.net,+503 3227-3823,Calzada Aparicio 871 Interior 616,San Salvador,El Salvador,81264,3374965-7
Luke Skywalker,qlimon@example.com,+52 6347-8905,Circunvalación Valverde 660 Interior 536,Tijuana,México,30626-1169,2780220-8
Casa Stark Distribuidora,florencia22@avalos.com,+502 5704-1456,"Prolongación Nevárez 822 Edif. 542 , Depto. 821",Antigua Guatemala,Guatemala,67342,2063152-7
Rosas S.A. de C.V.,zunigasara@briseno.org,+503 3633-5541,"Peatonal Djibouti 306 Edif. 826 , Depto. 512",Mejicanos,El Salvador,30805,8589103-8
Julio Timoteo Reséndez,susana64@example.net,+502 4126-4319,"Diagonal Norte Ramón 720 Edif. 097 , Depto. 737",Antigua Guatemala,Guatemala,27611-2565,8508277-2
Martín Patricio Segovia,arevalosara@example.org,+52 7498-4942,Periférico Colima 862 019,Ciudad de México,México,32742,8186330-1
Despacho Montoya y Hernádez,aidalaureano@colon.info,+502 7866-6999,Retorno Michoacán de Ocampo 503 Interior 262,Quetzaltenango,Guatemala,56241-8057,3398789-4
Miriam Venegas,hernadezmagdalena@example.net,+502 5262-8983,Circuito Sinaloa 925 Interior 517,Ciudad de Guatemala,Guatemala,29048,3731249-3
"Corporacin Vigil, Marroquín y Abreu",garciaisaac@industrias.com,+503 4778-7902,"Peatonal Etiopía 000 Edif. 095 , Depto. 418",Soyapango,El Salvador,83694-9235,4284050-5
Covarrubias y Cervantes A.C.,natalia7cald@gmail.com,+502 6538-8514,"Ampliación Campeche 859 Edif. 979 , Depto. 873",Mixco,Guatemala,00080,8389660-0
Cristina Elsa Crespo,cantualberto@example.net,+52 2526-2848,"Eje vial Emiratos Árabes Unidos 986 Edif. 928 , Depto. 414",Tijuana,México,78066,4834497-1
Blanco y Regalado S.A.,fernandoibarra@laboratorios.com,+502 3061-7918,"Circuito Urrutia 684 Edif. 431 , Depto. 802",Mixco,Guatemala,33253-6593,5338739-6
Leia Org,leia@gmail.com,+502 0101-1015,Andador Bolivia 613 Interior 186,Antigua Guatemala,Guatemala,91390,1973088-8
